Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:52:15 2025

Initialized Ramulator. 
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf6a4c44
Micro-op 1: 7f74c6e36e6a	Micro-op 2: 7f74cf6a4c4d
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e3c180
Micro-op 1: 7f74c6e36e6a	Micro-op 2: 7f74c6e1d26b
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e1d26c
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74c6882f5d
Micro-op 1: 7f74c6e36b3c	Micro-op 2: 7f74cf79a24e
Micro-op 1: 7f74c6e36b3c	Micro-op 2: 7f74cf79a252
Micro-op 1: 7f74c6e36b3c	Micro-op 2: 7f74cf79a510
Micro-op 1: 7f74c6e36b3c	Micro-op 2: 7f74cf79a513
Micro-op 1: 7f74c5348434	Micro-op 2: 7f74c5348434
Micro-op 1: 7f74cf79a6ac	Micro-op 2: 7f74cf6a4c4d
Micro-op 1: 7f74cf6a4c44	Micro-op 2: 7f74cfb6b59d
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cfb6b5bf
Micro-op 1: 7f74cf644504	Micro-op 2: 7f74cf644504
Micro-op 1: 7f74cf64450b	Micro-op 2: 7f74cf64450b
Micro-op 1: 7f74cf644512	Micro-op 2: 7f74cf644512
Micro-op 1: 7f74cf644516	Micro-op 2: 7f74cf644516
Micro-op 1: 7f74cf64452c	Micro-op 2: 7f74cf64452c
Micro-op 1: 7f74cf644519	Micro-op 2: 7f74cf64453e
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74cf644553
Micro-op 1: 7f74cfb6b650	Micro-op 2: 7f74cfb6b667
Micro-op 1: 7f74cfb6b668	Micro-op 2: 7f74cfb6b669
Micro-op 1: 7f74cfb6b66b	Micro-op 2: 7f74cfb6b66d
Micro-op 1: 7f74cfb6b655	Micro-op 2: 7f74c6882f89
Micro-op 1: 7f74c6882f85	Micro-op 2: 7f74c6882f98
Micro-op 1: 7f74cf652bf1	Micro-op 2: 7f74c6882f9a
Micro-op 1: 7f74cf652bf1	Micro-op 2: 7f74c6882f9b
Micro-op 1: 7f74cf6a4c44	Micro-op 2: 7f74c6e56482
Micro-op 1: 7f74c6e564a0	Micro-op 2: 7f74c6e564a7
Micro-op 1: 7f74c6e326b4	Micro-op 2: 7f74c6e25880
Micro-op 1: 7f74c6e25eaf	Micro-op 2: 7f74c6e25726
Micro-op 1: 7f74c6e25731	Micro-op 2: 7f74c6e2573d
Micro-op 1: 7f74c6e25f2b	Micro-op 2: 7f74c6e25792
Micro-op 1: 7f74c6e25749	Micro-op 2: 7f74c6e257a6
Micro-op 1: 7f74c6e25887	Micro-op 2: 7f74c6e25887
Micro-op 1: 7f74c6e25755	Micro-op 2: 7f74c6e25731
Micro-op 1: 7f74c6e25764	Micro-op 2: 7f74c6e25764
Micro-op 1: 7f74c6e2577a	Micro-op 2: 7f74c6e2577a
Micro-op 1: 7f74c6e326b4	Micro-op 2: 7f74c6e258b6
Micro-op 1: 7f74c6e25749	Micro-op 2: 7f74c6e25749
Micro-op 1: 7f74c6e25755	Micro-op 2: 7f74c6e25755
Micro-op 1: 7f74cf686bae	Micro-op 2: 7f74c6e257eb
Micro-op 1: 7f74c6e257ec	Micro-op 2: 7f74c6e257ee
Micro-op 1: 7f74c6e257f0	Micro-op 2: 7f74c6e257f2
Micro-op 1: 7f74c6e257f4	Micro-op 2: 7f74c6e257f5
Micro-op 1: 7f74c686fd56	Micro-op 2: 7f74c54adb60
Micro-op 1: 7f74c54adb61	Micro-op 2: 7f74c54adb62
Micro-op 1: 7f74c6e26f7c	Micro-op 2: 7f74c54adc37
Micro-op 1: 7f74c54adc97	Micro-op 2: 7f74c54adc97
Micro-op 1: 7f74cf7987fd	Micro-op 2: 7f74c54adc70
Micro-op 1: 7f74c54adc71	Micro-op 2: 7f74c54adc73
Micro-op 1: 7f74c5347dc4	Micro-op 2: 7f74c5347dc4
Micro-op 1: 7f74cf7986f5	Micro-op 2: 7f74cf7986f5
Micro-op 1: 7f74c54adc75	Micro-op 2: 7f74cf7987fd
Micro-op 1: 7f74c54adc55	Micro-op 2: 7f74c54adc55
Micro-op 1: 7f74c54adc61	Micro-op 2: 7f74c54adc61
Micro-op 1: 7f74c54adc68	Micro-op 2: 7f74c54adc68
Micro-op 1: 7f74c54adc71	Micro-op 2: 7f74c54adc75
Micro-op 1: 7f74c54adc71	Micro-op 2: 7f74c54adc71
Micro-op 1: 7f74c6e329c5	Micro-op 2: 7f74c6e329c9
Micro-op 1: 7f74c6e32a0b	Micro-op 2: 7f74c6e32a0b
Micro-op 1: 7f74c6e32a36	Micro-op 2: 7f74c6e32a36
Micro-op 1: 7f74c6e329b6	Micro-op 2: 7f74c6e329b6
Micro-op 1: 7f74c6e329c5	Micro-op 2: 7f74c6e329c5
Micro-op 1: 7f74c6e32a36	Micro-op 2: 7f74c6e32a36
Micro-op 1: 7f74cf6a1e6a	Micro-op 2: 7f74c6e32a78
Micro-op 1: 7f74cf6a1e6a	Micro-op 2: 7f74c6e256db
Micro-op 1: 7f74cf6a1e6a	Micro-op 2: 7f74c6e256df
Micro-op 1: 7f74cf6a1e6a	Micro-op 2: 7f74c6e256e2
Micro-op 1: 7f74cf6a1e6a	Micro-op 2: 7f74c6e256e9
REP BUG: Data size does not match instruction 0x7f74c6e255c3 - PATCHING size, success!
Micro-op 1: 7f74c6e25887	Micro-op 2: 7f74c6e25579
Micro-op 1: 7f74c6e25597	Micro-op 2: 7f74c6e255a3
Micro-op 1: 7f74cf6a1e6a	Micro-op 2: 7f74c6e255e7
Micro-op 1: 7f74c6e56508	Micro-op 2: 7f74c6e56516
