Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:48:18 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea65289b	Micro-op 2: 7f34ea65289b
Micro-op 1: 7f34ea652166	Micro-op 2: 7f34ea65214f
Micro-op 1: 7f34ea652189	Micro-op 2: 7f34ea652190
Micro-op 1: 7f34ea652182	Micro-op 2: 7f34ea652197
Micro-op 1: 7f34ea6521a9	Micro-op 2: 7f34ea652205
Micro-op 1: 7f34ea652557	Micro-op 2: 7f34ea652557
Micro-op 1: 7f34ea651eb0	Micro-op 2: 7f34ea651eb0
Micro-op 1: 7f34ea66fa24	Micro-op 2: 7f34ea66fa24
Micro-op 1: 7f34ea66fa28	Micro-op 2: 7f34ea66fa28
Micro-op 1: 7f34ea651eff	Micro-op 2: 7f34ea651eff
Micro-op 1: 7f34ea6521ee	Micro-op 2: 7f34ea6521ee
Micro-op 1: 7f34ea652228	Micro-op 2: 7f34ea65224d
Micro-op 1: 7f34ea65221b	Micro-op 2: 7f34ea652270
Micro-op 1: 7f34ea6522b3	Micro-op 2: 7f34ea6522c1
Micro-op 1: 7f34ea6522aa	Micro-op 2: 7f34ea6522e1
Micro-op 1: 7f34ea6522f4	Micro-op 2: 7f34ea6522fa
Micro-op 1: 7f34ea652390	Micro-op 2: 7f34ea652396
Micro-op 1: 7f34ea6523be	Micro-op 2: 7f34ea6523c5
Micro-op 1: 7f34ea652346	Micro-op 2: 7f34ea6523d6
Micro-op 1: 7f34ea652315	Micro-op 2: 7f34ea6523ed
Micro-op 1: 7f34ea652406	Micro-op 2: 7f34ea652406
Micro-op 1: 7f34ea652406	Micro-op 2: 7f34ea652475
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea65c111
Micro-op 1: 7f34ea652315	Micro-op 2: 7f34ea6524c6
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea671e5d
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea66c4fa
Micro-op 1: 7f34ea6723a3	Micro-op 2: 7f34ea6723a6
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea6723b3
Micro-op 1: 7f34ea65c1f6	Micro-op 2: 7f34ea65c18d
Micro-op 1: 7f34ea650164	Micro-op 2: 7f34ea650154
Micro-op 1: 7f34ea66c401	Micro-op 2: 7f34ea650158
Micro-op 1: 7f34ea66c401	Micro-op 2: 7f34ea65c1ec
Micro-op 1: 7f34ea65c1f6	Micro-op 2: 7f34ea65c1f6
Micro-op 1: 7f34ea650164	Micro-op 2: 7f34ea650164
Micro-op 1: 7f34ea66c401	Micro-op 2: 7f34ea650168
Micro-op 1: 7f34ea652725	Micro-op 2: 7f34ea65c1b3
Micro-op 1: 7f34ea65c1d4	Micro-op 2: 7f34ea65c1d4
Micro-op 1: 7f34ea650164	Micro-op 2: 7f34ea650164
Micro-op 1: 7f34ea6524fd	Micro-op 2: 7f34ea652512
Micro-op 1: 7f34ea652873	Micro-op 2: 7f34ea65296d
Micro-op 1: 7f34ea65c248	Micro-op 2: 7f34ea65299b
Micro-op 1: 7f34ea65b0eb	Micro-op 2: 7f34ea65b12c
Micro-op 1: 7f34ea65b146	Micro-op 2: 7f34ea65b166
Micro-op 1: 7f34ea651eff	Micro-op 2: 7f34ea65b16b
Micro-op 1: 7f34ea65b158	Micro-op 2: 7f34ea65b16f
Micro-op 1: 7f34ea65b196	Micro-op 2: 7f34ea65b1c3
Micro-op 1: 7f34ea6723ca	Micro-op 2: 7f34ea65b1c7
Micro-op 1: 7f34ea65b1d5	Micro-op 2: 7f34ea65b1dc
Micro-op 1: 7f34ea65a4dd	Micro-op 2: 7f34ea65a4ea
Micro-op 1: 7f34ea65b1e7	Micro-op 2: 7f34ea65a50b
Micro-op 1: 7f34ea65a4d4	Micro-op 2: 7f34ea65a512
Micro-op 1: 7f34ea65251d	Micro-op 2: 7f34ea65a5bf
Micro-op 1: 7f34ea65251d	Micro-op 2: 7f34ea65a5c4
Micro-op 1: 7f34ea65249d	Micro-op 2: 7f34ea65a5db
Micro-op 1: 7f34ea652315	Micro-op 2: 7f34ea65a545
Micro-op 1: 7f34ea652315	Micro-op 2: 7f34ea65a55e
