
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f97fbc50d4d, 7fff61638b00, 8, 8, 1, 20591827

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc4c89e, 7f97f8931500, 8, 2, 1, 20587079
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fbc50de2, 7f97f8931500, 8, 1, 1, 20591738

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f97fbc4fe77, 7fff61638ac0, 8, 8, 1, 20591731
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f97fbc4fe79, 7fff61638ac0, 8, 8, 1, 20591733

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f97fbc4fe73, 7fff61638ac0, 8, 8, 1, 20591727
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f97fbc4fe75, 7fff61638ac0, 8, 8, 1, 20591729

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f97fbc4fe70, 7fff61638ac0, 8, 8, 1, 20591723
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f97fbc4fe71, 7fff61638ac0, 8, 8, 1, 20591725

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fbc4d80a, 7fff61638a80, 8, 8, 1, 20591716
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fbc4fe6f, 7fff61638a80, 8, 8, 1, 20591721

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f97fbc4d808, 7fff61638a80, 8, 8, 1, 20591634
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f97fbc4d808, 7fff61638a80, 8, 8, 1, 20591714

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f97fbc4d76f, 7f97fbdc6500, 8, 13, 1, 20591015
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f97fbc4d76f, 7f97fbdc6500, 8, 13, 1, 20591589

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f97fbc4d8c4, 7f97f8931b80, 1, 15, 2, 20057964
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fbc4d75d, 7f97f8931b80, 0, 15, 0, 20591585

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f97fbc4d73b, 7f97f88db000, 2, 6, 2, 20590930
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 16, 7f97fbc4d73b, 7f97f88db000, 2, 6, 2, 20591577

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc4d726, 7f97fbdcc4c0, 8, 0, 0, 20590925
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f97fbc4d726, 7f97fbdcc4c0, 8, 0, 0, 20591572

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc4eea7, 7f97fbdc53c0, 8, 0, 0, 20588427
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f97fbc4d716, 7f97fbdc53c0, 8, 0, 0, 20591568

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc4f5fe, 7f97f8931500, 8, 3, 1, 20590333
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fbc4fe52, 7f97f8931500, 8, 6, 1, 20591483

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc4c89e, 7f97f8931500, 8, 2, 1, 20587079
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fbc4fe0f, 7f97f8931500, 8, 6, 1, 20591464

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f97fbc4d808, 7fff61638a80, 8, 8, 1, 20591450
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f97fbc4d80a, 7fff61638a80, 8, 8, 1, 20591452

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc4d81a, 7f97fc6c87c0, 4, 0, 0, 20057658
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f97fbc4d7a2, 7f97fc6c87c0, 4, 0, 0, 20591026

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f97fbc4ebc8, 7f97fbdc5c80, 4, 2, 1, 20586998
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f97fbc4d79e, 7f97fbdc5c80, 8, 13, 2, 20591025

