Scarab gitrev: 3e29641
Scarab started at Tue Apr  8 05:34:02 2025

Initialized Ramulator. 
Op1 PC: 7f97fc70a249, Op2 PC: 7f97fc70a2c3, Op1 Cacheline: 7f97fc6c8700, Op2 Cacheline: 7f97fc6c8700, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 5, Op2 Base reg: 5
Op1 PC: 7f97fc70a320, Op2 PC: 7f97fc70a321, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70a323, Op2 PC: 7f97fc70a325, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70b854, Op2 PC: 7f97fc6f56b4, Op1 Cacheline: 7f97fc733f80, Op2 Cacheline: 7f97fc733f80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fbc503fe, Op2 PC: 7f97fbc4d6b1, Op1 Cacheline: 7f97f8931500, Op2 Cacheline: 7f97f8931500, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 7, Op2 Base reg: 6
Op1 PC: 7f97f88c78df, Op2 PC: 7f97fbc4d6b5, Op1 Cacheline: 7f97fc6c87c0, Op2 Cacheline: 7f97fc6c87c0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fbc50409, Op2 PC: 7f97fbc4d6fb, Op1 Cacheline: 7f97fbdc4d80, Op2 Cacheline: 7f97fbdc4d80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fbc50410, Op2 PC: 7f97fbc4d705, Op1 Cacheline: 7f97fc6c86c0, Op2 Cacheline: 7f97fc6c86c0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 4, Op2 Base reg: 1
Op1 PC: 7f97fbc4d838, Op2 PC: 7f97fbc4d8b9, Op1 Cacheline: 7f97fbdc5cc0, Op2 Cacheline: 7f97fbdc5cc0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 13, Op2 Base reg: 13
Op1 PC: 7f97fbc4d857, Op2 PC: 7f97fbc4d8d0, Op1 Cacheline: 7f97f8931b40, Op2 Cacheline: 7f97f8931b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 15, Op2 Base reg: 15
Op1 PC: 7f97fbc4d838, Op2 PC: 7f97fbc4d8d5, Op1 Cacheline: 7f97fbdc5cc0, Op2 Cacheline: 7f97fbdc5cc0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 13, Op2 Base reg: 13
Op1 PC: 7f97fbc4d92e, Op2 PC: 7f97fbc4d7e8, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 4, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fbc4d800, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fbc4d801, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fbc4d802, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fbc4d804, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fbc4d806, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fbc4d808, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fbc4d80a, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fbc5045a, Op2 PC: 7f97fbc5045b, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c988b, Op2 PC: 7f97f88c9891, Op1 Cacheline: 7fff61638c00, Op2 Cacheline: 7fff61638c00, Op1 Mem size: 16, Op2 Mem size: 16, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78d5, Op2 PC: 7f97f88c989a, Op1 Cacheline: 7fff61638c80, Op2 Cacheline: 7fff61638c80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 2, Op2 Base reg: 8
Op1 PC: 7f97fbc4d7ed, Op2 PC: 7f97fbea60fa, Op1 Cacheline: 7f97fc6c87c0, Op2 Cacheline: 7f97fc6c87c0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
