FU_BUSY_25_count,             0
FU_BUSY_25_total_count,             0

FU_BUSY_26_count,             0
FU_BUSY_26_total_count,             0

FU_BUSY_27_count,             0
FU_BUSY_27_total_count,             0

FU_BUSY_28_count,             0
FU_BUSY_28_total_count,             0

FU_BUSY_29_count,             0
FU_BUSY_29_total_count,             0

FU_BUSY_30_count,             0
FU_BUSY_30_total_count,             0

FU_BUSY_31_count,             0
FU_BUSY_31_total_count,             0

FU_REJECTED_OP_INV_NOT_SIMD_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_INV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_NOP_NOT_SIMD_count,         25960
FU_REJECTED_OP_NOP_NOT_SIMD_pct,        4.447
FU_REJECTED_OP_NOP_NOT_SIMD_total_count,         25960
FU_REJECTED_OP_NOP_NOT_SIMD_total_pct,        4.447

FU_REJECTED_OP_CF_NOT_SIMD_count,         10917
FU_REJECTED_OP_CF_NOT_SIMD_pct,        1.870
FU_REJECTED_OP_CF_NOT_SIMD_total_count,         10917
FU_REJECTED_OP_CF_NOT_SIMD_total_pct,        1.870

FU_REJECTED_OP_MOV_NOT_SIMD_count,         16267
FU_REJECTED_OP_MOV_NOT_SIMD_pct,        2.786
FU_REJECTED_OP_MOV_NOT_SIMD_total_count,         16267
FU_REJECTED_OP_MOV_NOT_SIMD_total_pct,        2.786

FU_REJECTED_OP_CMOV_NOT_SIMD_count,            96
FU_REJECTED_OP_CMOV_NOT_SIMD_pct,        0.016
FU_REJECTED_OP_CMOV_NOT_SIMD_total_count,            96
FU_REJECTED_OP_CMOV_NOT_SIMD_total_pct,        0.016

FU_REJECTED_OP_LDA_NOT_SIMD_count,          3091
FU_REJECTED_OP_LDA_NOT_SIMD_pct,        0.529
FU_REJECTED_OP_LDA_NOT_SIMD_total_count,          3091
FU_REJECTED_OP_LDA_NOT_SIMD_total_pct,        0.529

FU_REJECTED_OP_IMEM_NOT_SIMD_count,        429309
FU_REJECTED_OP_IMEM_NOT_SIMD_pct,       73.537
FU_REJECTED_OP_IMEM_NOT_SIMD_total_count,        429309
FU_REJECTED_OP_IMEM_NOT_SIMD_total_pct,       73.537

FU_REJECTED_OP_IADD_NOT_SIMD_count,         38155
FU_REJECTED_OP_IADD_NOT_SIMD_pct,        6.536
FU_REJECTED_OP_IADD_NOT_SIMD_total_count,         38155
FU_REJECTED_OP_IADD_NOT_SIMD_total_pct,        6.536

FU_REJECTED_OP_IMUL_NOT_SIMD_count,         19475
FU_REJECTED_OP_IMUL_NOT_SIMD_pct,        3.336
FU_REJECTED_OP_IMUL_NOT_SIMD_total_count,         19475
FU_REJECTED_OP_IMUL_NOT_SIMD_total_pct,        3.336

FU_REJECTED_OP_IDIV_NOT_SIMD_count,             8
FU_REJECTED_OP_IDIV_NOT_SIMD_pct,        0.001
FU_REJECTED_OP_IDIV_NOT_SIMD_total_count,             8
FU_REJECTED_OP_IDIV_NOT_SIMD_total_pct,        0.001

FU_REJECTED_OP_ICMP_NOT_SIMD_count,          1230
FU_REJECTED_OP_ICMP_NOT_SIMD_pct,        0.211
FU_REJECTED_OP_ICMP_NOT_SIMD_total_count,          1230
FU_REJECTED_OP_ICMP_NOT_SIMD_total_pct,        0.211

FU_REJECTED_OP_LOGIC_NOT_SIMD_count,          5190
FU_REJECTED_OP_LOGIC_NOT_SIMD_pct,        0.889
FU_REJECTED_OP_LOGIC_NOT_SIMD_total_count,          5190
FU_REJECTED_OP_LOGIC_NOT_SIMD_total_pct,        0.889

FU_REJECTED_OP_SHIFT_NOT_SIMD_count,         13743
FU_REJECTED_OP_SHIFT_NOT_SIMD_pct,        2.354
FU_REJECTED_OP_SHIFT_NOT_SIMD_total_count,         13743
FU_REJECTED_OP_SHIFT_NOT_SIMD_total_pct,        2.354

FU_REJECTED_OP_FMEM_NOT_SIMD_count,          1427
FU_REJECTED_OP_FMEM_NOT_SIMD_pct,        0.244
FU_REJECTED_OP_FMEM_NOT_SIMD_total_count,          1427
FU_REJECTED_OP_FMEM_NOT_SIMD_total_pct,        0.244

FU_REJECTED_OP_FCVT_NOT_SIMD_count,             0
FU_REJECTED_OP_FCVT_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FCVT_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FCVT_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FADD_NOT_SIMD_count,             0
FU_REJECTED_OP_FADD_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FADD_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FADD_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FMUL_NOT_SIMD_count,             0
FU_REJECTED_OP_FMUL_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FMUL_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FMUL_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FMA_NOT_SIMD_count,             0
FU_REJECTED_OP_FMA_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FMA_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FMA_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FDIV_NOT_SIMD_count,             0
FU_REJECTED_OP_FDIV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FDIV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FDIV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FCMP_NOT_SIMD_count,             0
FU_REJECTED_OP_FCMP_NOT_SIMD_pct,        0.000
