op1_pc,op2_pc,distance
7f97f88c8ada,7f97fbc2b6bf,5846
7f97fbc36680,7f97fbc36680,1547
7f97fbbd33e4,7f97fbbd33e4,889
7f97fbd59e40,7f97fbd59e40,360
7f97fbd59e50,7f97fbd59e50,360
7f97fbd59e50,7f97fbc3667d,440
7f97fbc3667f,7f97fbc2b7a6,4
7f97fbc2b7bd,7f97fbc2b7be,2
7f97fbc2b7bf,7f97fbc2b7c1,2
7f97fbc2b7c3,7f97fbc2b7c5,2
7f97fbc36620,7f97fbc36620,308
7f97fbc2b7c7,7f97fbd5c5ca,171
7f97fbc20ddf,7f97fbc20ddf,3756
7f97fbc21339,7f97fbc21339,3348
7f97fbc21ce5,7f97fbc21ce5,3301
7f97fbc21ce1,7f97fbc21ce1,50
7f97fbbd3494,7f97fbbd3494,734
7f97fbc20922,7f97fbc20922,734
7f97fbc21339,7f97fbc21e40,3729
7f97fbc21ce1,7f97fbc20f04,449
7f97fbc20f89,7f97fbc20f89,162
7f97fbc20f08,7f97fbc20f08,228
7f97fbc20de3,7f97fbc20de3,1195
7f97fbc20a09,7f97fbc20a09,397
7f97fbc20a0d,7f97fbc20a0d,397
7f97fbc20458,7f97fbc20462,3
7f97fbc20518,7f97fbc08524,6540
7f97fbc060e6,7f97fbbffd6f,164
7f97fbc07589,7f97fbc07589,134
7f97fbc074c3,7f97fbc07b02,469
7f97fbc060e6,7f97fbc00537,773
7f97fbc060e6,7f97fbc00538,775
7f97fbc07b12,7f97fbc07b29,128
7f97fbc07b12,7f97fbc080ca,198
7f97fbc07b89,7f97fbc07b97,4
7f97fbc06356,7f97fbc06359,1
7f97fbc064de,7f97fbc079f0,258
7f97fbc064de,7f97fbc065fc,303
7f97fbc064de,7f97fbc06623,311
7f97fbc054ea,7f97fbc054ee,1
7f97fbc054f2,7f97fbc054ea,82
7f97fbc00537,7f97fbc00538,2
7f97fbc055cf,7f97fbc055d0,2
7f97fbc064de,7f97fbc0666d,792
7f97fbc055d2,7f97fbc055cf,358
7f97fbc055d2,7f97fbc055d2,362
7f97fbc055b9,7f97fbc055b9,82
7f97fbc00537,7f97fbc00537,82
7f97fbc06631,7f97fbc06631,89
7f97fbc055d0,7f97fbc055d2,2
7f97fbc069cb,7f97fbc069d2,1
7f97fbc069ec,7f97fbc069fd,3
7f97fbc074c3,7f97fbc06a04,4045
7f97fbc070dd,7f97fbc07118,86
7f97fbc070dd,7f97fbc06d05,340
7f97fbc06df6,7f97fbc06e09,60
7f97fbc06e10,7f97fbc072c4,131
7f97fbc06cdb,7f97fbc06e4c,705
7f97fbc06f17,7f97fbc06f17,72
7f97fbd59e15,7f97fbd59e15,150
7f97fbd59e25,7f97fbd59e25,116
7f97fbc06f17,7f97fbc06f40,503
7f97fbc06dd1,7f97fbc06f47,1100
7f97fbc077e6,7f97fbc077f0,2
7f97fbc20090,7f97fbc37e0a,14602
7f97fbc38848,7f97fbc37e26,76
7f97fbc37e27,7f97fbc37e28,2
7f97fbc3881d,7f97fbc3881d,204
7f97fbc38840,7f97fbc38840,204
7f97fbc37e2a,7f97fbc38848,122
7f97fbc37df6,7f97fbc37df6,165
7f97fbc37e2a,7f97fbc37e27,161
7f97fbc37e2a,7f97fbc37e2a,165
7f97fbc06cdb,7f97fbc06fcb,2569
7f97fbc069aa,7f97fbc070dd,3519
7f97f88c8ada,7f97fbc05edc,17049
7f97fbc3667f,7f97fbc05ef2,14620
7f97fbc3667f,7f97fbc05ef3,14622
7f97fbc3667f,7f97fbc05ef5,14624
7f97fbc3667f,7f97fbc05ef7,14626
7f97fbc3667f,7f97fbc05ef9,14628
7f97fbc3667f,7f97fbc05efb,14630
7f97fbc3667f,7f97fbc05efc,14632
7f97fbc208fa,7f97fbc366a3,13588
7f97fbc3881d,7f97fbc37968,1703
7f97fbc379dd,7f97fbc379dd,397
7f97fbc35efd,7f97fbc35efd,1
7f97fbc35f07,7f97fbc35f07,86
7f97fbcbf874,7f97fbcbf874,27
7f97fbc35f45,7f97fbc35f46,2
7f97fbc35f47,7f97fbc35f49,2
7f97fbc20408,7f97fbc20408,11202
7f97fbc20572,7f97fbc20387,16890
7f97fbc20572,7f97fbc2039a,16895
7f97fbc2041b,7f97fbc2041b,62
7f97fbc20408,7f97fbc20346,11310
7f97fbc3667f,7f97fbc3c221,16988
7f97fbc205cf,7f97fbc205cf,46
7f97fbc20354,7f97fbc20375,6
7f97fbc20376,7f97fbc20377,2
7f97fbc20379,7f97fbc2037b,2
7f97fbc2037d,7f97fbc2037f,2
7f97f88c9a68,7f97f88c8b8d,19790
7f97f88c9a68,7f97f88c8ba1,19803
7f97f88c9a68,7f97f88c8ba2,19805
7f97f88c9a68,7f97f88c8ba3,19807
7f97f88c9a68,7f97f88c8ba5,19809
7f97f88c9a68,7f97f88c8ba7,19811
7f97f88c6f70,7f97f88c6f76,1
7f97f88c9a68,7f97fbc5045b,20506
7f97fbc5045c,7f97fbea6133,238
7f97f88c6fa0,7f97f88c6d3a,477
7f97f88c6d81,7f97f88c6d88,2
7f97f88c6dab,7f97f88c6dab,120
7f97f88c6de7,7f97f88c6de7,37
7f97f88c6d75,7f97f88c6d75,37
7f97f88c6d81,7f97f88c6d81,37
7f97f88c6d88,7f97f88c6d88,37
7f97f88c6ef3,7f97f88c6ecc,21220
7f97f88c6ef3,7f97f88c6eda,21223
7f97fbc5045c,7f97fbea6133,46629262
7f97fbc4f088,7f97fbc4f128,6356524
7f97fbc4d882,7f97fbc4f06c,46630693
7f97fbc5045c,7f97fbe82991,46630330
7f97fbc5045c,7f97fbe82992,46630332
7f97fbc4f1d8,7f97fbc4f1d8,46099909
7f97fbc4f1d8,7f97fbc4f58a,46099985
7f97fbc4f57c,7f97fbc4f5f8,126
7f97fc7093b1,7f97fc6ffc2c,46097940
7f97f88c7ac0,7f97f88c7a0e,6319144
7f97f88c7a20,7f97f88c7a25,1
7f97f88c7ac0,7f97f88c7ac0,6319227
7f97fc7093b1,7f97f88c7aea,46098071
7f97fc7093b1,7f97f88c7aec,46098075
7f97f88c7a20,7f97f88c7a20,8
7f97fc7093b1,7f97f88c7a45,71531586
7f97fc70a31f,7f97f88c7a46,72067262
7f97fc70a31f,7f97f88c7a47,72067264
7f97fc70a31f,7f97f88c7a49,72067266
7f97fbc5045c,7f97fbc5045c,25438188
7f97fbc5045c,7f97fbc5045b,72066378
7f97fbc5045c,7f97fbc5045c,72066380
7f97fc70a327,7f97fbea6133,72067920
7f97fbc4f57c,7f97fbc4f57c,25436701
7f97fbc4f088,7f97fbc4f781,31794018
7f97fbc4f109,7f97fbc4c79f,25437791
7f97fbc4f109,7f97fbc4f7c4,25437795
7f97fc70a327,7f97fbe82991,72069548
7f97fc70a327,7f97fbe82992,72069550
7f97fbc4f7aa,7f97fbc4f7aa,707
7f97fbc5045c,7f97fbe82991,72068991
7f97fbc5045c,7f97fbe82992,72068993
7f97fbc5045c,7f97fbd5aa3f,72593425
7f97fbc4f94d,7f97fbc4f94d,526080
7f97fbc4f21b,7f97fbc4f7d2,72063335
7f97fbc5045c,7f97fbe82992,72594454
7f97fbc5045c,7f97fbd5aa3f,73118893
7f97fbf21b35,7f97f88c9762,26510003
7f97fbf21b35,7f97f88c976a,26510004
7f97fbc4f7a0,7f97fbc4f7a0,525418
7f97fbc4c761,7f97fbc4c761,259
7f97fbc503fe,7f97fbc503fe,1056605
7f97fbc4c79f,7f97fbd59e50,32850677
7f97fbc4c79f,7f97fbd5a11b,33124734
7f97fc7093b1,7f97fc6ffc2c,72865224
7f97fc7093b1,7f97fc6ffc3f,72865260
7f97f88c7980,7f97f88c7980,182
7f97f88c7aec,7f97f88c79be,26872675
7f97f88c7aec,7f97f88c79bf,26872677
7f97f88c7aec,7f97f88c79c0,26872679
7f97f88c7aec,7f97f88c79c2,26872681
7f97f88c7aec,7f97f88c79c4,26872683
7f97f88c99c7,7f97f88c97c3,33170704
7f97fbf21b35,7f97f88c97ce,26869854
7f97fbf21b35,7f97f88c97ed,26869859
7f97fbf21b35,7f97f88c97f9,26869862
7f97fbc4f109,7f97fc70a6d5,27375299
7f97fbc4f109,7f97fc70a7eb,27375309
7f97fbc4f088,7f97fc70a7ee,33731730
7f97fbc4f088,7f97fc6fa789,33731829
7f97fbc4f088,7f97fc6fa78b,33731833
7f97fbc4f088,7f97fc6fa78f,33731837
7f97f88c7848,7f97f88c7848,19
7f97f88c78a8,7f97f88c78a8,120
