Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:45:26 2025

Initialized Ramulator. 
Micro-op 1: 7f74c6e25aee	Micro-op 2: 7f74c6e25b05	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c6870922	Micro-op 2: 7f74c6870922	 Cacheblock Address: 7f74c8677980
Micro-op 1: 7f74c6fca231	Micro-op 2: 7f74c6e25aee	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74cf6868be	Micro-op 2: 7f74c687093c	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74c687097e	Micro-op 2: 7f74c687099a	 Cacheblock Address: 7f74c7965900
Micro-op 1: 7f74c68709a8	Micro-op 2: 7f74c68709a8	 Cacheblock Address: 7f74c8677940
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74c686fc67	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6868be	Micro-op 2: 7f74c686fca9	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74c6870953	Micro-op 2: 7f74c686fcac	 Cacheblock Address: 7f74c8b25500
Micro-op 1: 7f74c686fd95	Micro-op 2: 7f74c686fd95	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c6e25abc	Micro-op 2: 7f74c6e25bcb	 Cacheblock Address: 7f74c82a5fc0
