Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:51:07 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea65c1d4	Micro-op 2: 7f34ea651d66	 Cacheblock Address: 7f34ea67d040
Micro-op 1: 7f34ea651d42	Micro-op 2: 7f34ea651d7a	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea66c568	Micro-op 2: 7f34ea651dc2	 Cacheblock Address: 7f34ea67c600
Micro-op 1: 7f34ea651df4	Micro-op 2: 7f34ea65281d	 Cacheblock Address: 400040
Micro-op 1: 7f34ea651698	Micro-op 2: 7f34ea652828	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea651e08	Micro-op 2: 7f34ea651e08	 Cacheblock Address: 7f34ea673040
Micro-op 1: 7f34ea651df4	Micro-op 2: 7f34ea651df4	 Cacheblock Address: 400040
Micro-op 1: 7f34ea65271e	Micro-op 2: 7f34ea65271e	 Cacheblock Address: 7f34ea67d9c0
Micro-op 1: 7f34ea652725	Micro-op 2: 7f34ea652725	 Cacheblock Address: 7f34ea67e180
Micro-op 1: 7f34ea65272e	Micro-op 2: 7f34ea65272e	 Cacheblock Address: 400080
Micro-op 1: 7f34ea651e36	Micro-op 2: 7f34ea651e36	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea6527ab	Micro-op 2: 7f34ea6527cf	 Cacheblock Address: 4000c0
Micro-op 1: 7f34ea6527bf	Micro-op 2: 7f34ea6527d6	 Cacheblock Address: 7f34ea67e4c0
Micro-op 1: 7f34ea6527af	Micro-op 2: 7f34ea6527af	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea6527b6	Micro-op 2: 7f34ea6527b6	 Cacheblock Address: 7f34ea67e180
Micro-op 1: 7f34ea6527e6	Micro-op 2: 7f34ea6527e6	 Cacheblock Address: 400080
Micro-op 1: 7f34ea6527ab	Micro-op 2: 7f34ea6527ab	 Cacheblock Address: 4000c0
Micro-op 1: 7f34ea6527bf	Micro-op 2: 7f34ea6527bf	 Cacheblock Address: 7f34ea67e4c0
Micro-op 1: 7f34ea6527bf	Micro-op 2: 7f34ea6527bf	 Cacheblock Address: 7f34ea67e4c0
Micro-op 1: 7f34ea6527e6	Micro-op 2: 7f34ea6527e6	 Cacheblock Address: 4000c0
Micro-op 1: 7f34ea6527f0	Micro-op 2: 7f34ea6527f0	 Cacheblock Address: 7f34ea67e4c0
Micro-op 1: 7f34ea652808	Micro-op 2: 7f34ea652808	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea65278a	Micro-op 2: 7f34ea65278a	 Cacheblock Address: 7f34ea67e180
Micro-op 1: 7f34ea65278d	Micro-op 2: 7f34ea65278d	 Cacheblock Address: 400180
Micro-op 1: 7f34ea652799	Micro-op 2: 7f34ea652799	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea6525cd	 Cacheblock Address: 7f34ea67e480
Micro-op 1: 7f34ea6525db	Micro-op 2: 7f34ea6525e6	 Cacheblock Address: 4001c0
Micro-op 1: 7f34ea652654	Micro-op 2: 7f34ea652661	 Cacheblock Address: 400340
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea652670	 Cacheblock Address: 7f34ea67e480
Micro-op 1: 7f34ea652667	Micro-op 2: 7f34ea65268e	 Cacheblock Address: 400340
Micro-op 1: 7f34ea652700	Micro-op 2: 7f34ea652700	 Cacheblock Address: 400380
Micro-op 1: 7f34ea652700	Micro-op 2: 7f34ea652707	 Cacheblock Address: 400380
Micro-op 1: 7f34ea652603	Micro-op 2: 7f34ea6525db	 Cacheblock Address: 4001c0
Micro-op 1: 7f34ea6525fb	Micro-op 2: 7f34ea6525fb	 Cacheblock Address: 7f34ea67e180
Micro-op 1: 7f34ea652603	Micro-op 2: 7f34ea652603	 Cacheblock Address: 4001c0
Micro-op 1: 7f34ea652654	Micro-op 2: 7f34ea652667	 Cacheblock Address: 400340
Micro-op 1: 7f34ea6526c1	Micro-op 2: 7f34ea6526c1	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea652700	Micro-op 2: 7f34ea654018	 Cacheblock Address: 400380
Micro-op 1: 7f34ea65400b	Micro-op 2: 7f34ea652623	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea65263d	Micro-op 2: 7f34ea652647	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea65400b	Micro-op 2: 7f34ea65263d	 Cacheblock Address: 7ffe447c2a00
