Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:42:56 2025

Initialized Ramulator. 
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f71815bea39	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f71814547b0	Micro-op 2: 7f71814547b0	 Cacheblock Address: 7f71816abac0
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c08bda	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c08bdc	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f71815bea59	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e300	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e301	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e303	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7181454650	Micro-op 2: 7f7181454650	 Cacheblock Address: 7f71816aba00
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c07d46	 Cacheblock Address: 7f717d8cf9c0
Micro-op 1: 7f7181c07d49	Micro-op 2: 7f7181c07d49	 Cacheblock Address: 7f717e173180
Micro-op 1: 7f7181c0b584	Micro-op 2: 7f718157f3ab	 Cacheblock Address: 7f71816b0940
Micro-op 1: 7f7181c08c4a	Micro-op 2: 7f7181c08c4a	 Cacheblock Address: 7f717d8cfa00
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157f3ca	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157f3cb	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f802	Micro-op 2: 7f718157f6bb	 Cacheblock Address: 7f71816ace40
Micro-op 1: 7f718157f6ce	Micro-op 2: 7f718157f6cf	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f718157f395	Micro-op 2: 7f7181c0b584	 Cacheblock Address: 7f71816b0900
Micro-op 1: 7f718157f395	Micro-op 2: 7f718157e42d	 Cacheblock Address: 7f71816b0900
Micro-op 1: 7f718157f395	Micro-op 2: 7f71815beae4	 Cacheblock Address: 7f71816b0900
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f7181c0acc3	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7181c0accf	Micro-op 2: 7f7181c0ace1	 Cacheblock Address: 7f717e1731c0
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c0acf1	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157e44e	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157e450	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e4c6	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e4c7	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f718157db6d	Micro-op 2: 7f718157ffd2	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f7180b9bc44	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7180beb0cb	Micro-op 2: 7f7180b9bc4d	 Cacheblock Address: 7fff1ea3f0c0
Micro-op 1: 7f718157ed51	Micro-op 2: 7f718157ed55	 Cacheblock Address: 7f717d8cfec0
Micro-op 1: 7f718157ed64	Micro-op 2: 7f718157ed86	 Cacheblock Address: 7f717d8cfec0
Micro-op 1: 7f718157e6a0	Micro-op 2: 7f718157e6a4	 Cacheblock Address: 7f717d8cfec0
Micro-op 1: 7f718157e75a	Micro-op 2: 7f718157e75b	 Cacheblock Address: 7fff1ea3f080
Micro-op 1: 7f718157e75c	Micro-op 2: 7f718157e75e	 Cacheblock Address: 7fff1ea3f080
Micro-op 1: 7f718157ede0	Micro-op 2: 7f718157ede7	 Cacheblock Address: 7f717d8cfec0
Micro-op 1: 7f7180c92762	Micro-op 2: 7f7180c92766	 Cacheblock Address: 7fff1ea3f100
Micro-op 1: 7f718157edf2	Micro-op 2: 7f718157edfb	 Cacheblock Address: 7f717d8cfec0
Micro-op 1: 7f718157ee03	Micro-op 2: 7f718157ee04	 Cacheblock Address: 7fff1ea3f0c0
Micro-op 1: 7f718157ee05	Micro-op 2: 7f718157ee07	 Cacheblock Address: 7fff1ea3f0c0
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f7181580028	 Cacheblock Address: 7fff1ea3f100
Micro-op 1: 7f7180bea0be	Micro-op 2: 7f718158002d	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f718158003c	 Cacheblock Address: 7fff1ea3f100
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f718158003d	 Cacheblock Address: 7fff1ea3f100
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f718158003f	 Cacheblock Address: 7fff1ea3f100
Micro-op 1: 7f718157eb44	Micro-op 2: 7f718157eb54	 Cacheblock Address: 7f717d8cfec0
Micro-op 1: 7f718157eb48	Micro-op 2: 7f718157eb66	 Cacheblock Address: 7fff1ea3f100
