Scarab gitrev: 3faa0e4
Failed to load binaries: Failed to map module /simpoint_traces/postgres/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 02:39:19 2025

Initialized Ramulator. 
Op1 PC: 7f718188b9c8	 Op2 PC: 7f718188ba2a	 Op1 Cacheblock: 7f717e91ec80	 Op2 Cacheblock: 7f717e91ec80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 6	Op2 base reg: 6
Op1 PC: 7f718188ca2e	 Op2 PC: 7f718188ca2e	 Op1 Cacheblock: 7fff1ea3e4c0	 Op2 Cacheblock: 7fff1ea3e4c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718188ca2e	 Op2 PC: 7f71818773ec	 Op1 Cacheblock: 7fff1ea3e4c0	 Op2 Cacheblock: 7fff1ea3e4c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718188ca2e	 Op2 PC: 7f71818773ed	 Op1 Cacheblock: 7fff1ea3e4c0	 Op2 Cacheblock: 7fff1ea3e4c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718188ca2e	 Op2 PC: 7f71818773ee	 Op1 Cacheblock: 7fff1ea3e4c0	 Op2 Cacheblock: 7fff1ea3e4c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718188ca2e	 Op2 PC: 7f71818773f0	 Op1 Cacheblock: 7fff1ea3e4c0	 Op2 Cacheblock: 7fff1ea3e4c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818773b3	 Op2 PC: 7f71818773f2	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818773b3	 Op2 PC: 7f71818773f4	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187780f	 Op2 PC: 7f7181877fd4	 Op1 Cacheblock: 7fff1ea3e580	 Op2 Cacheblock: 7fff1ea3e580	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187780f	 Op2 PC: 7f7181877fd9	 Op1 Cacheblock: 7fff1ea3e580	 Op2 Cacheblock: 7fff1ea3e580	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
